State (Emission order)	H3k36me3	H3k79me2	H3k4me3	H3k9ac	H3k27ac	H2az	H3k4me2	H3k04me1	H3k09me3	H3k27me3
1	0.013844874932338234	0.03089986480182202	0.0045837511084449644	0.02489341026271511	0.09482273877691369	0.07334757492460746	0.14752335628225202	0.6049213503517887	0.007926549135129178	0.003548573124094637
2	0.026932238473336152	0.06380707599433842	0.2810925007905645	0.39331474476259104	0.8814244407189331	0.38352093143576677	0.817879978887968	0.9079370004297702	0.009073544784942945	0.002701889115549581
3	0.012748981097820664	0.04286985958245994	0.36307690246504887	0.15239832178372595	0.05954629580839834	0.3762240547917345	0.7169086045245547	0.3445134684479497	0.04167514255602071	0.058154469110212596
4	0.012680234537227122	0.39487917908902237	0.9908951025369693	0.9779247690687956	0.9274503922229491	0.6481380046694835	0.9118001963773569	0.2972171156996834	0.008403936410669582	0.007546271540118615
5	0.26070518080343685	0.8527968855076791	0.4289075479836977	0.2224200064080863	0.1975590867719587	0.0071340330469597075	0.8284684702122564	0.5825249246405824	0.009391379961054953	0.0036780417416486006
6	0.13838533407038114	0.6078724433316899	0.0014894796402985292	0.009370450196477207	0.004746572588079572	7.404023649013505E-4	0.014099703446597226	0.053064773909764176	0.007424723685429958	0.001076307765524326
7	0.016653132368842402	0.026372902164691063	7.261855637824177E-4	0.007887131168605451	8.559018933472515E-4	0.0041784249135117515	6.478418930352061E-4	0.004325384421217096	0.00436492891726608	0.0019644519542127478
8	0.3994171539369725	0.05620275097565429	0.0018786192657088176	0.01363051871871956	0.00410905314880969	0.0011355895095611535	0.0013561676878709648	0.007098301880712171	0.00938381975537042	0.00234820727049462
9	2.0891940627706183E-4	0.009605521840696917	0.001856317649840075	0.010646199664472928	6.322548365459894E-4	0.015163161609586216	0.0019938734651069262	0.0022902520741760555	0.026986665525185253	0.2591626811111326
10	1.6744113244414563E-4	0.002826951684930368	1.5860899858534107E-4	0.001164962627086469	7.404908885736157E-5	0.0031538518262807353	3.125111973373972E-4	6.142835639990176E-4	0.004693184468780578	0.003919701431627033
